name;price;town;city;shipping;sold;date;url
Pc gaming assemblato fisso completo;1.500;Palermo ;(PA);;;;https://www.subito.it/informatica/pc-gaming-assemblato-fisso-completo-palermo-493990627.htm
Ten-tec orion2 con filtri + Imballo;1.990;Bologna ;(BO);;;2023-06-01;https://www.subito.it/audio-video/ten-tec-orion2-con-filtri-imballo-bologna-495444488.htm
Westone spectrum;150;Chieti ;(CH);;;2023-06-02;https://www.subito.it/strumenti-musicali/westone-spectrum-chieti-495353506.htm
Mouse Logitech G502 Proteus Spectrum;15;Avellino ;(AV);Spedizione disponibile;;2023-06-02;https://www.subito.it/informatica/mouse-logitech-g502-proteus-spectrum-avellino-495348565.htm
Fujifilm x100s full spectrum;650;Martellago ;(VE);Spedizione disponibile;;2023-06-02;https://www.subito.it/fotografia/fujifilm-x100s-full-spectrum-venezia-495314863.htm
Olio CBD full spectrum;;Torino ;(TO);Spedizione disponibile;;;https://www.subito.it/hobby-collezionismo/olio-cbd-full-spectrum-torino-459012555.htm
Canon 6D mod. x ASTROFOTOGRAFIA.+ filtro OPTOLONG;620;Lanciano ;(CH);Spedizione disponibile;;;https://www.subito.it/fotografia/canon-6d-mod-x-astrofotografia-filtro-optolong-chieti-488094841.htm
Radiocomando Spectrum DX6i;129;Reggio di Calabria ;(RC);Spedizione disponibile;;;https://www.subito.it/hobby-collezionismo/radiocomando-spectrum-dx6i-reggio-calabria-491091781.htm
(FRETTA DI VENDERE) Pc assemblato + periferiche;479;Napoli ;(NA);Spedizione disponibile;;2023-06-02;https://www.subito.it/informatica/fretta-di-vendere-pc-assemblato-periferiche-napoli-494546679.htm
Libro “Grammar spectrum Gold”;15;Piovene Rocchette ;(VI);Spedizione disponibile;;2023-06-02;https://www.subito.it/libri-riviste/libro-grammar-spectrum-gold-vicenza-495278510.htm
Trasformatore alimentatore modellismo F.S;40;Genova ;(GE);Spedizione disponibile;;2023-06-02;https://www.subito.it/hobby-collezionismo/trasformatore-alimentatore-modellismo-f-s-genova-495275655.htm
Canon 6D mod. x ASTROFOTOGRAFIA.+ filtro OPTOLONG;620;Lanciano ;(CH);Spedizione disponibile;;2023-06-02;https://www.subito.it/fotografia/canon-6d-mod-x-astrofotografia-filtro-optolong-chieti-488094841.htm
